url,title,release_year,genre,imdb_rating,runtime,age_rating,production_country,streaming_service,type
https://www.justwatch.com/in/movie/perfect-days, Perfect Days (2023),2023,Drama,7.9,2h 4min,UA,"Japan, Germany","MUBI , MUBI Amazon Channel",Movie
https://www.justwatch.com/in/movie/bhediya, Bhediya (2022),2022,"Comedy, Fantasy, Horror, Mystery & Thriller",6.7,2h 36min,UA,India,"Jio Cinema , Jio Cinema",Movie
https://www.justwatch.com/in/movie/manjummel-boys, Manjummel Boys (2024),2024,"Mystery & Thriller, Drama, Action & Adventure",8.3,2h 15min,UA,India,Hotstar,Movie
https://www.justwatch.com/in/movie/siddharth-roy, Siddharth Roy (2024),2024,"Drama, Romance",7.4,2h 28min,A,India,aha,Movie
https://www.justwatch.com/in/movie/it-ends-with-us, It Ends with Us (2024),2024,"Drama, Romance",6.8,2h 10min,A,United States,Bookmyshow,Movie
https://www.justwatch.com/in/movie/kung-fu-panda-4, Kung Fu Panda 4 (2024),2024,"Comedy, Kids & Family, Fantasy, Animation, Action & Adventure",6.3,1h 34min,U,United States,"Apple TV , Jio Cinema , Zee5 , Amazon Video , Apple TV , Apple TV , Bookmyshow",Movie
https://www.justwatch.com/in/movie/sam-bahadur, Sam Bahadur (2023),2023,"Drama, War & Military, History",7.7,2h 30min,UA,India,"Zee5 , Bookmyshow",Movie
https://www.justwatch.com/in/movie/chandni-chowk-to-china, Chandni Chowk to China (2009),2009,"Action & Adventure, Comedy, Drama, Fantasy",4.3,2h 34min,U,"Thailand, China, India",,Movie
https://www.justwatch.com/in/movie/godzilla-x-kong-the-new-empire, Godzilla x Kong: The New Empire (2024),2024,"Action & Adventure, Science-Fiction, Mystery & Thriller, Fantasy",6.1,1h 55min,UA,United States,"Apple TV , Amazon Video , Apple TV , Apple TV",Movie
https://www.justwatch.com/in/movie/the-hunger-games-the-ballad-of-songbirds-and-snakes, The Hunger Games: The Ballad of Songbirds & Snakes (2023),2023,"Mystery & Thriller, War & Military, Action & Adventure, Drama, Science-Fiction",6.7,2h 37min,UA,"United States, Canada","Amazon Prime Video , Apple TV , Amazon Prime Video , Amazon Video , Apple TV",Movie
https://www.justwatch.com/in/movie/the-union, The Union (2024),2024,"Comedy, Action & Adventure, Mystery & Thriller",5.5,1h 49min,UA,United States,Netflix,Movie
https://www.justwatch.com/in/movie/animal-2022, Animal (2023),2023,"Drama, Action & Adventure, Crime, Mystery & Thriller",6.2,3h 24min,A,India,"Netflix , Bookmyshow",Movie
https://www.justwatch.com/in/movie/ghostbusters-frozen-empire, Ghostbusters: Frozen Empire (2024),2024,"Action & Adventure, Comedy, Fantasy, Science-Fiction",6.1,1h 55min,A,United States,"Apple TV , Netflix , Zee5 , Amazon Video , Apple TV , Apple TV",Movie
https://www.justwatch.com/in/movie/dangal, Dangal (2016),2016,"Drama, Comedy, Action & Adventure, Sport",8.3,2h 41min,U,"India, United States","Apple TV , Amazon Video , Apple TV , Apple TV",Movie
https://www.justwatch.com/in/movie/12th-fail, 12th Fail (2023),2023,Drama,8.9,2h 26min,U,India,Hotstar,Movie
https://www.justwatch.com/in/movie/haseen-dillruba, Haseen Dillruba (2021),2021,"Mystery & Thriller, Crime, Drama, Romance",6.9,2h 15min,U,India,Netflix,Movie
https://www.justwatch.com/in/movie/longlegs, Longlegs (2024),2024,"Mystery & Thriller, Crime, Horror",7.0,1h 41min,A,"Canada, United States",Bookmyshow,Movie
https://www.justwatch.com/in/movie/turbo-2024, Turbo (2024),2024,Action & Adventure,7.0,2h 30min,UA,India,,Movie
https://www.justwatch.com/in/movie/premalu, Premalu (2024),2024,"Comedy, Romance",7.8,2h 36min,U,India,"Hotstar , aha",Movie
https://www.justwatch.com/in/movie/inside-out, Inside Out (2015),2015,"Animation, Kids & Family, Action & Adventure, Drama, Comedy, Fantasy",8.1,1h 35min,U,United States,"Apple TV , Hotstar , Tata Play , Apple TV , Apple TV",Movie
https://www.justwatch.com/in/movie/aranmanai-4, Aranmanai 4 (2024),2024,Horror,5.1,2h 28min,U,India,Hotstar,Movie
https://www.justwatch.com/in/movie/rockstar, Rockstar (2011),2011,"Drama, Music & Musical, Romance",7.8,2h 39min,UA,India,"Apple TV , Jio Cinema , Zee5 , Eros Now Select Apple TV Channel , Jio Cinema , Apple TV , Apple TV , Bookmyshow",Movie
https://www.justwatch.com/in/movie/untitled-vicky-kaushal-prime-video-project, Bad Newz (2024),2024,"Comedy, Drama, Romance",6.0,2h 20min,UA,India,,Movie
https://www.justwatch.com/in/movie/hanu-man, Hanu-Man (2024),2024,"Fantasy, Science-Fiction, Action & Adventure",7.8,2h 39min,UA,India,"Jio Cinema , Zee5 , Hotstar , Jio Cinema",Movie
https://www.justwatch.com/in/movie/hit-man, Hit Man (2024),2024,"Comedy, Crime, Romance",6.9,1h 55min,A,United States,Netflix,Movie
https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone, Harry Potter and the Philosopher's Stone (2001),2001,"Fantasy, Kids & Family",7.6,2h 32min,U,"United States, United Kingdom","Apple TV , Jio Cinema , Apple TV , Tata Play , Apple TV",Movie
https://www.justwatch.com/in/movie/sultan, Sultan (2016),2016,"Romance, Action & Adventure, Drama, Sport",7.1,2h 50min,UA,India,"Amazon Prime Video , Apple TV , Amazon Prime Video , Apple TV , Amazon Video , Apple TV",Movie
https://www.justwatch.com/in/movie/little-hearts, Little Hearts (2024),2024,"Comedy, Romance, Drama",6.8,2h 16min,UA,India,"Amazon Prime Video , Amazon Prime Video",Movie
https://www.justwatch.com/in/movie/civil-war-2024-0, Civil War (2024),2024,"Action & Adventure, Mystery & Thriller, Drama",7.1,1h 49min,UA,"United States, United Kingdom","Amazon Prime Video , Amazon Prime Video",Movie
https://www.justwatch.com/in/movie/sri-2023, Srikanth (2024),2024,Drama,7.5,2h 14min,U,India,Netflix,Movie
https://www.justwatch.com/in/movie/satyabhama, Satyabhama (2024),2024,"Crime, Drama, Mystery & Thriller",6.5,2h 12min,UA,India,"Amazon Prime Video , Amazon Prime Video , Jio Cinema",Movie
https://www.justwatch.com/in/movie/punch-drunk-love, Punch-Drunk Love (2002),2002,"Romance, Drama, Comedy, Mystery & Thriller, Made in Europe",7.3,1h 36min,U,United States,"Apple TV , Netflix , Sony Pictures Amazon Channel , Amazon Video , Apple TV , Apple TV",Movie
